章節,題號,題目,選項(A),選項(B),選項(C),選項(D),正確答案
第一章 民用航空法及相關法規,121,某明星正在室外舉行音樂發表會，主辦單位看到現場人山人海，為擴大宣傳效果， 臨時 打算請某無人機團隊利用無人機於現場人群上空進行投擲紀念版 T恤及 CD活動，請問 下列敘述何者正確？,法規已明訂未取得相應專業操作證及事前活動申請許可，不得以遙控無人機進行投 擲作業。,主辦單位只要事先向現場人群說明活動進行方式，即可進行投擲作業。,只要主辦單位提供之 T恤及 CD數量能符合無人機酬載需求，即可進行投擲作業。,使用無人機投擲物件稀鬆平常，毫無安全疑慮，可以直接進行投擲作業。,A
第一章 民用航空法及相關法規,122,某電影拍攝作業因取景需求，導演指示團隊將無人機飛入民用航空法所規範之限航區內 執行空拍任務，請 問下列敘述何者正確？,只要在限航區內不要待太久，趕緊拍攝完畢就好。,非經核准，限航區內不得從事遙控無人機飛航活動。,若限航區位處人煙罕至處，飛進去拍攝無妨。,只要有助手協助觀察限航區內狀況，即可飛入拍攝。,B
第一章 民用航空法及相關法規,123,國內某無人機團隊有名外籍成員，雖領有該國政府所核發之合格無人機操作證，惟尚未 獲得本國民航局認可。針對該名外籍成員欲參與團隊於本國境內之無人機飛航活動之敘 述，下列何者正確？,該員已領有外國政府核發證照，理當可於本國境內從事飛航活動。,如該員已具備無人機操作經歷滿 3年以上，即可直接於本國境內從事飛航活動。,該員必須獲得本國民航局認可，使得於本國境內從事飛航活動。,只要無人機團隊有人願簽切結書擔保活動之安全，該員即可於本國境內從事飛航活 動。,C
第一章 民用航空法及相關法規,124,王大華從某購物商場購買一台最大起飛重量 950公克的無人多旋翼機，欲作為假日出遊 紀錄小孩玩樂過程的利器，有關王大華應注意事項，下列哪項正確？,王大華不須為該台無人多旋翼機辦理註冊。,王大華須取得高級專業操作證後，才能操作該台無人多旋翼機。,王大華不得任意於機場周邊進行飛航操作。,王大華須為該台無人多旋翼機辦理實體檢驗。,C
第一章 民用航空法及相關法規,125,某大學校慶活動，預計於該校室內體育館舉行一場無人機競技比賽，請問有關該比賽之 適法性問題，下列何者為非？,該比賽舉辦地點於室內，非屬民航法無人機專章規範範圍。,該比賽舉辦地點雖於室內 ，仍屬民航法無人機專章規範範圍。,操作人於比賽過程中仍須注意在場人員之安全。,比賽過程中如因操作人操作不當而傷及他人者，操作人仍可能須負相關法律責任。,B
第一章 民用航空法及相關法規,126,某無人機團隊受知名電視台委託，要利用無人機進行即時新聞事件之空拍作業，惟團隊 經評估後認為該空拍作業可能存在安全顧慮，請問該團隊面對電視台之委託，採取下列 何項作法較為恰當？,僅須視操作人經驗決定是否接受該任務。,視電視台給予酬勞多寡決定是否接受該任務。,評估有安全顧慮即應婉拒該任務，並詳細解釋其原因。,視任務活動投保額度高低決定是否接受該任務。,C
第一章 民用航空法及相關法規,127,小陳為某新成立無人機業務公司負責人，目前除積極招兵買馬外，亦準備購入 20台不同 構型、重量之業務用無人機。請問小陳對於該公司所購入無人機之註冊相關規定，下列 敘述何者正確？,所有無人機均須辦理註冊。,最大起飛重量超過 250公克之無人機才須辦理註冊。,僅須為所採購無人機之半數辦理註冊即可。,由主管機關決定應辦理註冊之無人機數量。,A
第一章 民用航空法及相關法規,128,某公司因業務需求所購入之一批無人機剛完成向民航局申請之註冊程序，請問該公司對 於註冊號碼之標註規定所應有認知，下列何者為非？,註冊號碼標註位置須能清楚辨識。,註冊號碼得以噴漆方式標註。,須確保註冊號碼不會於每次飛航活動中脫落。,無人機之移動結構外部最適合作為註冊號碼標註之處。,D
第一章 民用航空法及相關法規,129,某無人機團隊因特殊任務需求所新購之一架無人機尚未完成註冊程序，惟因任務在即， 有成員建議先借用另一架已註冊無人機之註冊號碼，再向民航局報備即可。請問針對該 成員之主張，下列何者為正確？,註冊號碼本來就可以互相借用，並無違反相關規定。,只要所借用註冊號碼同屬該團隊其他無人機所有，即無違反相關規定。,只要先向民航局報備獲准借用，即無違反相關規範。,註冊號碼不得借供於未註冊之無人機上使用，該成員之主張已明顯違反相關規範。,D
第一章 民用航空法及相關法規,130,無人機團隊因任務需要，為其所有之一架已取得型式檢驗合格證之無人 機進行改裝行 為，請問該團隊針對無人機改裝後之應有認知，下列何者正確？,改裝者應檢附申請書向民航局再次申請型式檢驗。,改裝行為並不影響型式檢驗之效力，無須再進行任何檢驗。,該團隊能擔保改裝行為不影響無人機飛航性能及安全，即不須再進行任何檢驗。,由主管機關自由判定改裝行為是否須進行重新檢驗。,A
第一章 民用航空法及相關法規,131,某團隊擁有一架最大起飛重量達 30公斤之無人飛機逾半年之久，經過幾次任務後發現該 機因某項設計缺失而恐致操作安全疑慮，請問該團隊應有下列何項認知及作為？,只要加強操作人技術及應付緊急狀況之能力即可，不須採取其他作為。,團隊應儘速詢求該無人機設計者，以針對設計缺失進行補正作為。,於往後每次活動區域內設置安全防護網即可，不須採取其他作為。,於往後活動前只要記得投保較高額度之保險即可，不須採取其他作為。,B
第一章 民用航空法及相關法規,132,某電影公司欲拍攝高速公路警匪追逐場景，為求逼真效果，電影公司要求無人機團隊操 作無人機近距離拍攝疾駛於高速公路上之車輛，請問操作人應有哪項正確認知？,這是訓練自己技術的好機會，應大膽接受任務。,看在電影公司給予高額酬勞的份上，理應接受該任務。,只要團隊多數人認為可以執行，即應接受該任務。,未經核准飛航前，無人機飛航活動應遠離高速公路至少 30公尺以上，該任務顯違反 規定，應予以拒絕。,D
第一章 民用航空法及相關法規,133,某區域發生強烈地震，造成人員傷亡及財產損害嚴重，某新聞機構要求無人機團隊不待 申請，立即趕赴當地執行空拍任務，以便進行獨家即時新聞報導，請問該團隊應有何種 正確認知？,緊急情況時，應遵守災害防救法之規定，統一聽從政府災害應變中心指揮及調度， 不可擅自 進行拍攝。,因屬災害危難事件、人命關天，應不顧一切答應其要求，並立即前往進行拍攝。,只要取得欲拍攝區域之里長口頭同意後，即可進行拍攝任務。,只要取得欲拍攝區域之消防主管機關口頭同意後，即可進行拍攝任務。,A
第一章 民用航空法及相關法規,134,某大學順應潮流成立無人機社團，其成員亦將成為該校未來無人機業務執行主力。學校 為擴大宣傳，臨時決定某日下午於校園空曠處進行無人機飛航展示活動，請問下列認知 何者正確？,校園內飛航無受法規限制，可盡情執行飛航展示活動。,只要經學校同意，並於活動現場派員口頭宣導注意事項，即 可任意進行飛航展示活 動。,該校仍應於完成飛航活動許可申請後，始得依申請內容進行飛航操作展示。,為展示無人機性能，刻意將無人機飛越人群、教室或辦公區域是可允許的。,C
第一章 民用航空法及相關法規,135,小華為某公司無人機業務部門主管兼資深飛手，請問有關每趟飛航任務之操作紀錄、無 人機維護紀錄及相關修理紀錄等處置事宜，小華應有哪項正確認知？,法規針對相關紀錄之處置並無明確規範，隨公司高層想怎麼處理都可以。,相關紀錄內容隨便寫寫就好，反正任務完成、機器能正常運作即可。,明知飛航任務中發生異常現象，為利團隊績效，自行研判若不嚴重，即不須特別紀 錄。,公司應妥善保存每趟任務之相關紀錄，法規針對紀錄事項及保存期限等亦有相關規 定。,D
第一章 民用航空法及相關法規,136,一架最大起飛重量 5公斤且裝置導航設備之遙控無人機於海岸邊執行空拍任務時，因操 作不當而致失控墜海，目視機體已明顯損壞無法繼續使用。請問操作人應採取下列哪項 正確作為？,只要無造成人員傷亡，即不須作任何處置。,只要無造成人員傷亡，只需要把墜海的無人機拾回即可。,無論有無造成人員傷亡，應於事件發生後 24小時內依規定通報當地消防單位。,無論有無造成人員傷亡，應於事件發生後 24小時內依規定通報民航局。,D
第一章 民用航空法及相關法規,137,某無人機團隊正規劃一場沙灘音樂饗宴任務，其內容包括： 「日落後利用無人機於參與民 眾上空噴灑彩色粉末，以製造繽紛效果」 。請問下列何者為該團隊執行任務前最重要之考 量因素？,操作者之飛航技術及膽識是否足夠。,彩色粉末之數量是否足夠活動需求。,該任務是否已經申請核准，操作者是否領有相應操作證。,現場燈光及音效設備是否良好，以營造絢麗歡樂 效果。,C
第一章 民用航空法及相關法規,138,某公司無人機團隊正執行飛航任務，突接獲上層電話指示須臨時將無人機飛至前方人群 密集之住宅區拍攝所需影像，並表示公司先前已獲得民航局相關安全能力審查通過，可 放心飛入執行拍攝。」請問該團隊應有下列何種正確認知？,當然是聽從上層的要求，直接飛入住宅區進行拍攝。,活動前仍應依規定向民航局申請執行許可後，使得進行拍攝。,只要臨時通知所在地轄區派出所後，即可進行拍攝。,只要臨時通知所在地轄區里長辦公室後，即可進行拍攝。,B
第一章 民用航空法及相關法規,139,某業餘玩家利用假日至一處未被劃設禁飛區域內進行無人機試飛活動，並預劃完成數項 操作科目，此時已接近日落，尚有幾個科目未完成，請問有關下列該玩家應注意事項， 何者正確？,該區域非為禁飛區，故該玩家於日落後仍可持續進行科目操作。,該玩家於日落前即應終止其飛航科目操作。,如果天氣良好即可於日落後持續進行飛航科目操作。,只要觀察四周無人，即可於日落後持續進行飛航科目操作。,B
第一章 民用航空法及相關法規,140,假設現有以下資訊：  1.日落時間為本地時間 18點46分。  2.民用暮光時間為 19點12 分。  3.航海暮光時間為 19點43分。  4.天文暮光時間為 20點16分。  請問無人機操作 人應於何時終止飛航活動？,18點46分。,19點12分。,19點43分。,20點16分。,A
第一章 民用航空法及相關法規,141,無人機團隊正評估釣客欲於近海海域使用無人機至離岸數公里處進行投放釣餌之操作需 求，請問下列哪項說明為該團隊最重要之考量因素？,無人機裝載釣餌前後之重量與重心變化是否於其操作限制內。,無人機之動力來源是否足以支撐該項投擲任務之完成。,涉及利用無人機投擲物體之限制操作項目，應申請活動許可並應 考取相關操作證。,釣客是否投保相關保險並願意簽署任務執行切結書。,C
第一章 民用航空法及相關法規,142,某雜誌社委託無人機團隊利用無人機執行一項具有相當危險性之飛航任務，負責人並保 證： 「於執行任務過程中若發生任何事件，導致人員死傷或財物毀損，均由雜誌社全權負 責，請團隊安心進行任務。」請問有關該負責人之保證，下列敘述何者正確？,雜誌社要能提供書面保證及繳交足額保證金，使得作為團隊免責之依據。,只要不是故意造成人員死傷或財物毀損，任一方均不須負賠償責任。,只要活動經申請核准執行，且已作有必要防護措施者，任一方均不須負賠償責任。,操作無人機造成人員死傷或財物毀損，不論故意或過失，應由 所有人及操作人負連 帶賠償責任。,D
第一章 民用航空法及相關法規,143,無人機團隊自行設計並組裝一架無人機，以因應越趨多元之任務型態，因某次任務時程 緊迫，團隊雖然知道該無人機尚未通過檢驗核可，仍決議先進行任務使用，等任務結束 後再趕緊完成檢驗程序。請問有關該團隊之決議，下列敘述何整正確？,只要於任務前先以口頭知會民航局，並於任務後儘快送檢即可。,只要於任務後以口頭知會民航局，並儘快送檢即可。,未經向民航局申請檢驗取得檢驗合格證者，不得從事飛航活動。,於任務前先以口頭知會民航局，並由民航局決定是否准予先執行任務，後續再完成 檢驗程序。,C
第一章 民用航空法及相關法規,144,某無人機團隊所有之一架無人機，於一次任務中因動力失效而墜落地面，機身經檢視受 損嚴重，並經評估恐難以再修復使用。請問團隊針對該無人機應有之後續處置作為，下 列敘述何者正確 ?,該無人機既已損毀，直接丟棄即可，惟應保留其註冊號碼及檢驗合格證。,再購買一架新無人機，並得直接使用原損壞無人機之註冊號碼，惟不能使用其檢驗 合格證。,再購買一架新無人機，並得直接使用原損壞無人機之檢驗合格證，惟不能使用其註 冊號碼。,所有人應於事實發生日起 15日內向民航局申請註銷註冊。其註冊號碼及檢驗合格證 均不得使用於其他無人機。,D
第一章 民用航空法及相關法規,145,某無人機團隊已獲得民航局安全能力審查核可，得於人群聚集處進行空拍任務。於某次 任務執行前，團隊依規定向民航局申請活動許可，惟對於是否應向當地地方政府申請一 事意見相左，請問下列敘述何者正確？,法律為民航局訂定的，當然只要向民航局申請即可。,一般而言，經民航局核准後，地方政府通常不會有意見，故不須再做申請。,除獲民航局許可外，仍應取得地方政府之同意，故還是得做申請。,是否要向地方政府申請，依執行任務之危險度或複雜度而定。,C
第一章 民用航空法及相關法規,146,有關操作人從事遙控無人機飛航活動時應注意之距離限制，下列何者為正確？,應至少距高速公路範圍 10公尺以上。,應至少距高架鐵路範圍 20公尺以上。,應至少距建築物及障礙物範圍 30公尺以上。,以上均正確。,C
第二章 基礎飛行原理,1,遙控無人機系統包含下列哪項主要次系統？,遙控無人機體。,遙控設備。,通訊及控制信號鏈路。,以上皆是。,D
第二章 基礎飛行原理,2,遙控無人機系統之飛行載具，包括下列哪些項目？,機體、負載設備及酬載。,機體、燃料或電池。,機體、燃料或電池、負載設備及酬載。,機體、燃料或電池、負載設備及酬載、遙控設備。,C
第二章 基礎飛行原理,3,遙控無人機系統之地面控制站的硬體設備，包括下列哪個項目？,訊號傳輸設備。,指令傳輸設備。,資訊接收分析設備。,以上皆是。,D
第二章 基礎飛行原理,4,遙控無人飛機起飛時，除跑道起飛外，還可運用下列哪項裝置？,火箭助推。,彈射軌道發射。,人力拋擲。,以上皆是。,D
第二章 基礎飛行原理,5,遙控無人飛機降落時，除跑道降落外，也可運用下列哪項方式？,攔截網。,纜線勾鎖。,降落傘。,以上皆是。,D
第二章 基礎飛行原理,6,遙控無人機許多層面都還是要由人員來掌握及操控，所以下列哪個因素在整體飛行過程 中佔了很重要的一部分？,人為因素。,運氣因素。,社會因素。,歷史因素。,A
第二章 基礎飛行原理,7,完整之飛控系統包括下列哪個部分？,感測器。,機載計算機。,伺服器。,以上皆是。,D
第二章 基礎飛行原理,8,完整之飛控系統可實現遙控無人機下列哪項功能？,姿態穩定和控制。,任務管理。,緊急控制模式。,以上皆是。,D
第二章 基礎飛行原理,9,下列哪個是飛行控制系統的輸入裝置，用以保持控制精度？,機載計算機。,感測器。,伺服器。,以上皆是。,B
第二章 基礎飛行原理,10,導航系統提供遙控無人機哪項資訊？,位置。,速度。,飛行姿態。,以上皆是。,D
第二章 基礎飛行原理,11,遙控無人機導航系統主要分為下列哪兩種？,非自主(如 GPS)和自主(慣性導航) 。,高精度和一般精度。,高抗干擾和低抗干擾。,全自動和半自動。,A
第二章 基礎飛行原理,12,遙控無人機非自主(如 GPS)導航系統有下列哪個缺點？,操作困難。,易受干擾。,誤差積累增大。,以上皆是。,B
第二章 基礎飛行原理,13,遙控無人機自主(慣性導航)導航系統有下列哪個缺點？,操作困難。,易受干擾。,誤差積累增大。,以上皆是。,C
第二章 基礎飛行原理,14,遙控無人機將朝向下列哪個方向繼續發展？,高精度。,高可靠度。,高抗干擾。,以上皆是。,D
第二章 基礎飛行原理,15,遙控無人機導航與自動避讓系統的發展，包括下列哪項重點？,慣性導航。,多感應器融合、 GPS。,光電系統技術整合。,以上皆是。,D
第二章 基礎飛行原理,16,遙控無人機的動力系統，都朝向下列哪個方向發展？,體積小、重量輕。,成本低。,可靠度高。,以上皆是。,D
第二章 基礎飛行原理,17,遙控無人機的能量來源可以包括下列哪項？,太陽能。,氫能。,鋰電池。,以上皆是。,D
第二章 基礎飛行原理,18,負責對遙控無人機之命令與控制、資料鏈路等工作的，是下列哪個系統？,動力系統。,無線通訊系統。,導航系統。,飛行控制系統。,B
第二章 基礎飛行原理,19,遙控無人機控制鏈路為保密與抗干擾基本上已全面採行下列哪種方式？,類比化。,模組化。,數位化。,離散化。,C
第二章 基礎飛行原理,20,遙控無人機的圖傳主要資料傳輸形態有下列哪幾種方式？,高速、寬頻。,類比、數位。,單工、衛星。,雙工、衛星。,B
第二章 基礎飛行原理,21,遙控無人機的通訊技術朝向下列哪個方向發展？,高速、寬頻。,保密。,抗干擾。,以上皆是。,D
第二章 基礎飛行原理,22,隨著機載感測器精度和任務複雜度的上升，機載處理器的下列哪項需求也將隨之提高？,運算需求。,保密需求。,抗干擾需求。,重量需求。,A
第二章 基礎飛行原理,23,所謂航空器，係指任何藉空氣之下列哪種力，得以飛航於大氣中之器物？,摩擦力。,靜電力。,反作用力。,以上皆是。,C
第二章 基礎飛行原理,24,遙控無人機比空氣重，無法只藉由空氣的浮力而上升，需要相對應的下列哪個項目在空 中飛行？,能量。,機身外表顏色。,起落架材質。,以上皆是。,A
第二章 基礎飛行原理,25,航空器利用噴射推力或是螺旋槳的拉力，使航空器產生下列哪種力而在空中飛行？,內力。,升力。,彈力。,以上皆是。,B
第二章 基礎飛行原理,26,飛行速度快、酬載大、飛行效率高，不需太複雜控制，就可自行抵抗氣流而自行保持穩 定的飛行的遙控無人機，是下列哪種遙控無人機？,遙控無人直昇機。,遙控無人飛機。,遙控無人多旋翼機。,以上皆是。,B
第二章 基礎飛行原理,27,遙控無人飛機缺點是需要有下列哪個項目供起降之用？,相當的跑道高度。,相當的跑道溫度。,相當的跑道長度。,以上皆是。,C
第二章 基礎飛行原理,28,透過旋翼槳葉產生升力，同時也能產生推力的遙控無人機，是下列哪種遙控無人機？,遙控無人直昇機。,遙控無人飛機。,遙控無人多旋翼機。,以上皆是。,A
第二章 基礎飛行原理,29,無人直昇機可以執行下列哪個動作？,自由調整姿態。,定點盤旋。,起飛與落地。,以上皆是。,D
第二章 基礎飛行原理,30,透過三個以上垂直旋翼間協調來控制姿態，同樣不需跑道，可垂直起降、空中懸停等的 遙控無人機，是下列哪種遙控無人機？,無人多旋翼機。,無人直昇機。,無人飛機。,以上皆是。,A
第二章 基礎飛行原理,31,操作人只要在遙控設備上施加桿力，就可改變遙控無人機的下列哪些性能？,重量或重心。,外形或顏色。,方向或速度。,翼展與翼弦。,C
第二章 基礎飛行原理,32,若無人飛機在地面上靜止，依牛頓運動定律，下列哪個特性會使得飛機保持靜止？,慣性。,磁性。,氣壓。,空氣濕度。,A
第二章 基礎飛行原理,33,若無人飛機保持固定的空速以直線行進，依牛頓運動定律，下列哪個特性會使得飛機持 續保持穩定的直線飛行？,磁性。,氣壓。,慣性。,空氣濕度。,C
第二章 基礎飛行原理,34,無人飛機於頂風飛行時，地面速度就會有下列哪種變化？,變快。,不變。,變慢。,以上皆非。,C
第二章 基礎飛行原理,35,若風從無人飛機前方的任一方向吹來，倘若飛行員沒有隨之修正，那下列哪個特性就會 受到風所施加的力而改變？,重量。,重心。,航向。,推力。,C
第二章 基礎飛行原理,36,噴射機將燃燒的熱氣體往後推送以施加作用力，相對的有相等且相反的下列哪種力，將 飛機往前推進？,反作用力。,摩擦力。,靜電力。,磁力。,A
第二章 基礎飛行原理,37,遙控無人機在空中飛行時，會受到下列哪些力相互作用的影響？,升力、推力。,推力、阻力。,阻力、重力。,以上皆是。,D
第二章 基礎飛行原理,38,無人飛機推力由下列哪個組件提供？,發動機。,起落架。,機翼。,機身。,A
第二章 基礎飛行原理,39,無人飛機阻力由下列哪個項目產生？,地心引力。,重心。,空氣。,發動機。,C
第二章 基礎飛行原理,40,無人飛機升力由下列哪個項目提供？,起落架。,機翼。,重心。,地心引力。,B
第二章 基礎飛行原理,41,重力由下列哪個項目產生？,空氣。,地心引力。,發動機。,機翼。,B
第二章 基礎飛行原理,42,飛機等速直線飛行時，縱軸 (X軸)方向阻力與推力大小相同方向相反，所以有下列哪種 情況？,橫軸 (Y軸)方向合力為零，飛機無升降起伏。,垂直軸 (Z軸)方向合力為零，飛機無偏航的姿態。,縱軸 (X軸)方向合力為零，飛機速度不變。,以上皆是。,C
第二章 基礎飛行原理,43,飛機高度保持時，垂直軸 (Z軸)方向升力與重力大小相同方向相反，所以有下列哪種情 況？,橫軸 (Y軸)方向合力為零，飛機無偏航的姿態。,垂直軸 (Z軸)方向合力為零，飛機無升降起伏。,縱軸 (X軸)方向合力為零，飛機速度不變。,以上皆是。,B
第二章 基礎飛行原理,44,連續性定理闡述了流體在流動中，下列哪些項目之間的關係？,流速和管道切面。,流速和溫度。,管道切面和溫度。,溫度和壓力。,A
第二章 基礎飛行原理,45,連續性定理闡述了流體在流動中，流速和管道切面相關，而且下列哪些項目也相關？,流速和壓力。,流速和溫度。,管道切面和溫度。,溫度和壓力。,A
第二章 基礎飛行原理,46,柏努利定律說明流體在一個管道中流動時，有下列哪種現象？,流速大的地方壓力大， 流速小的地方壓力小。,流速大的地方壓力大，流速小的地方壓力也大。,流速大的地方壓力小，流速小的地方壓力大。,流速大的地方壓力小，流速小的地方壓力也小。,C
第二章 基礎飛行原理,47,柏努利定律目的是要闡述流體在流動中時，下列哪些項目間的關係？,流速和溫度。,流速和壓力。,溫度和壓力。,以上皆非。,B
第二章 基礎飛行原理,48,柏努利定律中提到，如果流體的速度越快，流體中的壓力就會有下列哪種現象？,越小。,越大。,不變。,有時越小有時越大。,A
第二章 基礎飛行原理,49,遙控無人機的機翼或旋翼是下列哪種外力 主要產生的地方？,阻力。,升力。,推力。,重力。,B
第二章 基礎飛行原理,50,基於連續性定理、柏努利定律兩個理論，我們可以知道機翼上、下表面會出現下列哪種 現象？,溫度差。,壓力差。,濕度差。,比熱差。,B
第二章 基礎飛行原理,51,垂直於相對氣流方向的壓力差之總和就是下列哪種外力？,槳葉本身的攻角設計。,空氣的阻力。,機翼的升力。,地心引力。,C
第二章 基礎飛行原理,52,螺旋槳產生的推力是藉由下列哪個項目而成？,槳葉本身的攻角設計。,螺旋槳轉速。,以上皆是。,以上皆非。,C
第二章 基礎飛行原理,53,螺旋槳轉速通常以下列哪個項目來表示？,每秒徑度( rad/s)。,每分鐘轉數( RPM)。,赫茲  (Hz)。,每分鐘徑度( rad/min)。,B
第二章 基礎飛行原理,54,一般螺旋槳攻角最大的位置在槳葉的下列哪個位置？,槳葉根部。,槳葉葉尖。,槳葉中尖。,以上皆是。,A
第二章 基礎飛行原理,55,飛機螺旋槳在原廠設計時，為了設計出高效率的槳葉角度，係依據發動機及飛機的下列 哪些特性做為基礎？,銷量和價格。,耗油量和扭力。,壓縮比和衝程。,轉速和空速。,D
第二章 基礎飛行原理,56,航空器於飛行中，在空氣裡會有下列哪種外力？,各種彈力。,各種阻力。,各種磁力。,各種正向力。,B
第二章 基礎飛行原理,57,某外力係與飛機運動方向相反的空氣動力，會阻礙飛機的前進，它是下列哪種外力？,阻力。,升力。,重力。,推力。,A
第二章 基礎飛行原理,58,寄生阻力可分為下列哪幾種？,摩擦阻力。,形狀阻力。,干擾阻力。,以上皆是。,D
第二章 基礎飛行原理,59,對於高速遙控無人機而言，除了摩擦阻力、形狀阻力、誘導阻力和干擾阻力外，還會另 外產生下列哪種阻力？,震波阻力。,布斯曼阻力。,達倫伯特阻力。,雷諾阻力。,A
第二章 基礎飛行原理,60,下列哪個項目是空氣產生摩擦力的主要物理特性？,粘性。,低汙染。,PM2.5。,高揮發性。,A
第二章 基礎飛行原理,61,空氣流經飛機表面發生摩擦，產生一個阻止飛機前進的力，這個力就是下列哪種阻力？,形狀阻力。,誘導阻力。,摩擦阻力。,干擾阻力。,C
第二章 基礎飛行原理,62,摩擦阻力的大小，決定於下列哪個特性？,空氣的粘性。,飛機的表面狀況。,同空氣相接觸的飛機表面積。,以上皆是。,D
第二章 基礎飛行原理,63,空氣粘性越大，摩擦阻力就會有下列哪種變化？,越小。,越大。,不變。,以上皆非。,B
第二章 基礎飛行原理,64,飛機表面越粗糙，摩擦阻力就會有下列哪種變化？,越小。,不變。,越大。,以上皆非。,C
第二章 基礎飛行原理,65,飛機表面積越大，摩擦阻力就會有下列哪種變化？,越大。,越小。,不變。,以上皆非。,A
第二章 基礎飛行原理,66,由前後壓力差形成的阻力叫下列哪種阻力？,摩擦阻力。,形狀阻力。,誘導阻力。,干擾阻力。,B
第二章 基礎飛行原理,67,人在逆風中行走，會感到阻力的作用，這就是下列哪種阻力？,摩擦阻力。,誘導阻力。,形狀阻力。,干擾阻力。,C
第二章 基礎飛行原理,68,遙控無人飛機的機身與尾翼接合部分因氣流相互干擾，都會產生下列哪種阻力？,摩擦阻力。,形狀阻力。,誘導阻力。,干擾阻力。,D
第二章 基礎飛行原理,69,因升力產生渦流而發生的阻力稱為下列哪種阻力？,摩擦阻力。,誘導阻力。,形狀阻力。,干擾阻力。,B
第二章 基礎飛行原理,70,誘導阻力是遙控無人機為產生下列哪種外力而須付出的一種代價？,磁力。,推力。,升力。,重力。,C
第二章 基礎飛行原理,71,干擾阻力是遙控無人機各部分之間因下列哪種因素而產生的一種額外阻力？,氣流相互干擾。,熱流相互作用。,濕度相互作用。,磁力相互作用。,A
第二章 基礎飛行原理,72,干擾阻力容易產生在下列哪些組件之間？,機身和機翼、機身和尾翼。,機翼和外掛載。,機翼、發動機短艙。,以上皆是。,D
第二章 基礎飛行原理,73,重力是航空器本身之質量所受的下列哪種外力？,磁力。,地心引力。,摩擦力。,靜電力。,B
第二章 基礎飛行原理,74,過重的重力對飛行有負面影響，故無人機機身的設計都是採用下列哪種材質？,較輕。,較重。,時重時輕。,以上皆非。,A
第二章 基礎飛行原理,75,升力和阻力是飛機在空氣之間的下列哪種行為中產生？,分子光譜。,動量守恆。,相對運動  (相對氣流) 。,雷諾傳輸。,C
第二章 基礎飛行原理,76,影響升力和阻力的基本因素除了飛機本身的特點，還有下列哪個因素？,機翼在氣流中的相對位置(攻角) 。,氣流的速度。,空氣密度。,以上皆是。,D
第二章 基礎飛行原理,77,相對氣流方向與翼弦所夾的角度叫下列哪個角？,俯仰角。,滾轉角。,攻角。,偏航角。,C
第二章 基礎飛行原理,78,在飛行速度等其它條件相同的情況下，得到最大升力的攻角，叫做下列哪個項目？,理想攻角。,臨界攻角。,牛頓攻角。,萊布尼茲攻角。,B
第二章 基礎飛行原理,79,在小於臨界攻角範圍內增大攻角，會有下列哪種結果？,升力增大。,升力減少。,升力不變。,以上皆非。,A
第二章 基礎飛行原理,80,空氣密度大，相對氣流速度快，升力和阻力會有下列哪種變化？,升力越大、阻力越小。,升力越小、阻力越大。,升力和阻力越大。,升力和阻力越小。,C
第二章 基礎飛行原理,81,機翼面積大，升力和阻力會有下列哪種變化？,升力越大、阻力越小。,升力越小、阻力越大。,升力和阻力越小。,升力和阻力越大。,D
第二章 基礎飛行原理,82,升力和阻力與機翼面積大小的關係是下列哪種？,都與機翼面積大小成正比。,都與機翼面積大小成反比。,都與機翼面積大小的平方成正比。,都與機翼面積大小的平方成反比。,A
第二章 基礎飛行原理,83,機翼形狀對下列哪個項目有很大影響？,磁力。,升力、阻力。,重力。,以上皆是。,B
第二章 基礎飛行原理,84,下列哪個項目對升力、阻力有影響？,機翼切面形狀的相對厚度、最大厚度位置。,機翼平面形狀、襟翼和前緣翼縫的位置。,機翼表面光滑狀況。,以上皆是。,D
第二章 基礎飛行原理,85,遙控無人機表面光滑狀況會影響下列哪種阻力？,形狀阻力。,誘導阻力。,摩擦阻力。,干擾阻力。,C
第二章 基礎飛行原理,86,遙控無人機表面相對光滑，則阻力為下列哪種變化？,相對較小。,相對較大。,時大時小。,以上皆非。,A
第二章 基礎飛行原理,87,大多數遙控無人機都由下列哪個主要部分組成？,機翼、機身、尾翼。,起降裝置。,動力系統。,以上皆是。,D
第二章 基礎飛行原理,88,無人飛機機翼的主要功用是產生下列哪種外力？,阻力。,升力。,推力。,重力。,B
第二章 基礎飛行原理,89,無人飛機機翼除提供升力外，也有下列哪些作用？,美觀和舒適。,潤滑和保濕。,穩定和操作。,觀測和定位。,C
第二章 基礎飛行原理,90,在無人飛機機翼上一般安裝下列哪個物件？,光學酬載。,副翼和襟翼。,通訊設備。,導航設備。,B
第二章 基礎飛行原理,91,操縱無人飛機副翼可使飛機產生下列哪種結果？,滾轉。,爬升。,下降。,偏航。,A
第二章 基礎飛行原理,92,無人飛機機翼還可安裝下列哪個物件？,發動機。,起落架。,外掛載。,以上皆是。,D
第二章 基礎飛行原理,93,無人飛機機身的主要功用是裝載下列哪個物件？,油箱。,酬載。,各種設備。,以上皆是。,D
第二章 基礎飛行原理,94,無人飛機尾翼包括下列哪些物件？,大尾翼和小尾翼。,高速尾翼和低速尾翼。,水平尾翼和垂直尾翼。,旋轉尾翼和固定尾翼。,C
